datetime;id;devicetype;co2;temp;light;moist;movement;noise
2014-12-01T09:00:58;SH8/2I2kXiBIBd;device;499;23.79;1;18;0;60.19
2014-12-01T09:01:58;SH8/2I2kXiBIBd;device;499;23.77;1;17;0;60.19
2014-12-01T09:02:58;SH8/2I2kXiBIBd;device;499;23.77;1;17;0;60.05
2014-12-01T09:03:58;SH8/2I2kXiBIBd;device;498;23.73;1;17;0;60.3
2014-12-01T09:04:59;SH8/2I2kXiBIBd;device;495;23.72;1;17;0;60.62
2014-12-01T09:05:59;SH8/2I2kXiBIBd;device;493;23.7;1;17;0;60.07
2014-12-01T09:06:59;SH8/2I2kXiBIBd;device;491;23.69;1;17;0;60.04
2014-12-01T09:08:00;SH8/2I2kXiBIBd;device;487;23.66;1;17;0;60.08
2014-12-01T09:09:00;SH8/2I2kXiBIBd;device;479;23.64;1;16;0;60.05
2014-12-01T09:10:00;SH8/2I2kXiBIBd;device;472;23.64;1;16;0;60.13
2014-12-01T09:11:01;SH8/2I2kXiBIBd;device;0;23.62;1;16;0;60.67
2014-12-01T09:12:01;SH8/2I2kXiBIBd;device;460;23.62;1;16;0;60.17
2014-12-01T09:13:01;SH8/2I2kXiBIBd;device;457;23.6;1;16;0;60.86
2014-12-01T09:14:01;SH8/2I2kXiBIBd;device;445;23.59;1;17;0;61.36
2014-12-01T09:15:02;SH8/2I2kXiBIBd;device;436;23.57;1;16;0;60.48
2014-12-01T09:16:02;SH8/2I2kXiBIBd;device;433;23.56;1;16;0;60.24
2014-12-01T09:17:02;SH8/2I2kXiBIBd;device;431;23.54;1;16;1;66.91
2014-12-01T09:18:03;SH8/2I2kXiBIBd;device;428;23.54;45;16;1;63.75
2014-12-01T09:19:03;SH8/2I2kXiBIBd;device;425;23.56;52;16;1;61.77
2014-12-01T09:20:03;SH8/2I2kXiBIBd;device;425;23.56;57;17;1;60.26
