datetime;id;devicetype;co2;temp;light;moist;movement;noise
2014-12-01T08:00:39;SH8/2I2kXiBIBd;device;433;23.7;33;20;1;65.18
2014-12-01T08:01:40;SH8/2I2kXiBIBd;device;433;23.67;34;19;1;68.29
2014-12-01T08:02:40;SH8/2I2kXiBIBd;device;431;23.67;36;19;1;63.8
2014-12-01T08:03:40;SH8/2I2kXiBIBd;device;430;23.63;36;18;0;60.73
2014-12-01T08:04:41;SH8/2I2kXiBIBd;device;431;23.63;36;18;1;60.99
2014-12-01T08:05:41;SH8/2I2kXiBIBd;device;430;23.62;36;19;0;62.29
2014-12-01T08:06:41;SH8/2I2kXiBIBd;device;430;23.62;36;19;0;60.26
2014-12-01T08:07:42;SH8/2I2kXiBIBd;device;430;23.62;36;18;0;60.05
2014-12-01T08:08:42;SH8/2I2kXiBIBd;device;430;23.6;36;19;0;60.26
2014-12-01T08:09:42;SH8/2I2kXiBIBd;device;430;23.59;37;19;0;60.35
2014-12-01T08:10:42;SH8/2I2kXiBIBd;device;430;23.59;37;18;0;60.61
2014-12-01T08:11:43;SH8/2I2kXiBIBd;device;430;23.59;36;19;1;61.78
2014-12-01T08:12:43;SH8/2I2kXiBIBd;device;429;23.57;36;19;1;63.67
2014-12-01T08:13:43;SH8/2I2kXiBIBd;device;429;23.57;37;19;1;63.72
2014-12-01T08:14:44;SH8/2I2kXiBIBd;device;429;23.57;37;18;1;62.02
2014-12-01T08:15:44;SH8/2I2kXiBIBd;device;429;23.59;37;18;0;61.68
2014-12-01T08:16:44;SH8/2I2kXiBIBd;device;429;23.59;37;18;0;62.31
2014-12-01T08:17:45;SH8/2I2kXiBIBd;device;430;23.59;37;18;0;62.62
2014-12-01T08:18:45;SH8/2I2kXiBIBd;device;430;23.59;36;19;1;63.41
2014-12-01T08:19:45;SH8/2I2kXiBIBd;device;432;23.57;37;18;0;61.4
2014-12-01T08:20:45;SH8/2I2kXiBIBd;device;434;23.59;37;18;1;61.4
2014-12-01T08:21:46;SH8/2I2kXiBIBd;device;436;23.59;37;18;0;60.73
2014-12-01T08:22:46;SH8/2I2kXiBIBd;device;439;23.59;37;19;1;62.76
2014-12-01T08:23:46;SH8/2I2kXiBIBd;device;439;23.6;35;19;1;65.12
2014-12-01T08:24:47;SH8/2I2kXiBIBd;device;442;23.62;35;18;1;62.12
2014-12-01T08:25:47;SH8/2I2kXiBIBd;device;446;23.62;29;18;1;63.03
2014-12-01T08:26:47;SH8/2I2kXiBIBd;device;451;23.62;28;18;1;61.15
2014-12-01T08:27:48;SH8/2I2kXiBIBd;device;455;23.62;29;18;1;61.72
2014-12-01T08:28:48;SH8/2I2kXiBIBd;device;459;23.62;30;18;1;70.97
2014-12-01T08:29:48;SH8/2I2kXiBIBd;device;464;23.64;29;19;1;68.93
2014-12-01T08:30:48;SH8/2I2kXiBIBd;device;470;23.66;30;18;1;67.82
2014-12-01T08:31:49;SH8/2I2kXiBIBd;device;479;23.67;29;18;1;72.65
2014-12-01T08:32:49;SH8/2I2kXiBIBd;device;483;23.69;30;18;1;72.23
2014-12-01T08:33:49;SH8/2I2kXiBIBd;device;481;23.7;31;18;1;67.79
2014-12-01T08:34:50;SH8/2I2kXiBIBd;device;485;23.72;30;18;1;70.64
2014-12-01T08:35:50;SH8/2I2kXiBIBd;device;489;23.73;29;18;1;72.27
2014-12-01T08:36:50;SH8/2I2kXiBIBd;device;492;23.74;30;18;1;67.32
2014-12-01T08:37:51;SH8/2I2kXiBIBd;device;494;23.74;29;18;1;70.72
2014-12-01T08:38:51;SH8/2I2kXiBIBd;device;499;23.77;30;19;1;67.26
2014-12-01T08:39:51;SH8/2I2kXiBIBd;device;499;23.77;29;18;1;71.3
2014-12-01T08:40:51;SH8/2I2kXiBIBd;device;498;23.77;28;18;1;73.91
2014-12-01T08:41:52;SH8/2I2kXiBIBd;device;497;23.77;29;18;1;65.33
2014-12-01T08:42:52;SH8/2I2kXiBIBd;device;497;23.79;28;18;1;69.6
2014-12-01T08:43:52;SH8/2I2kXiBIBd;device;497;23.8;29;18;1;62.65
2014-12-01T08:44:53;SH8/2I2kXiBIBd;device;498;23.8;29;18;1;69.93
2014-12-01T08:45:53;SH8/2I2kXiBIBd;device;498;23.79;29;18;1;72.07
2014-12-01T08:46:53;SH8/2I2kXiBIBd;device;496;23.8;29;18;1;68.01
2014-12-01T08:47:54;SH8/2I2kXiBIBd;device;497;23.82;28;18;1;74.97
2014-12-01T08:48:54;SH8/2I2kXiBIBd;device;497;23.8;29;18;1;66.59
2014-12-01T08:49:54;SH8/2I2kXiBIBd;device;497;23.83;28;18;1;74.56
2014-12-01T08:50:54;SH8/2I2kXiBIBd;device;498;23.82;29;18;1;67.7
2014-12-01T08:51:55;SH8/2I2kXiBIBd;device;498;23.82;29;18;1;70.69
2014-12-01T08:52:55;SH8/2I2kXiBIBd;device;498;23.82;28;18;1;71.9
2014-12-01T08:53:55;SH8/2I2kXiBIBd;device;498;23.8;29;18;1;72.04
2014-12-01T08:54:56;SH8/2I2kXiBIBd;device;498;23.82;29;18;1;67.76
2014-12-01T08:55:56;SH8/2I2kXiBIBd;device;497;23.82;29;18;1;70.48
2014-12-01T08:56:56;SH8/2I2kXiBIBd;device;496;23.82;28;18;1;70.91
2014-12-01T08:57:57;SH8/2I2kXiBIBd;device;496;23.83;28;19;1;64.61
2014-12-01T08:58:57;SH8/2I2kXiBIBd;device;495;23.8;1;18;0;60.45
2014-12-01T08:59:57;SH8/2I2kXiBIBd;device;498;23.8;1;18;0;60.29
2014-12-01T09:00:58;SH8/2I2kXiBIBd;device;499;23.79;1;18;0;60.19
2014-12-01T09:01:58;SH8/2I2kXiBIBd;device;499;23.77;1;17;0;60.19
2014-12-01T09:02:58;SH8/2I2kXiBIBd;device;499;23.77;1;17;0;60.05
2014-12-01T09:03:58;SH8/2I2kXiBIBd;device;498;23.73;1;17;0;60.3
2014-12-01T09:04:59;SH8/2I2kXiBIBd;device;495;23.72;1;17;0;60.62
2014-12-01T09:05:59;SH8/2I2kXiBIBd;device;493;23.7;1;17;0;60.07
2014-12-01T09:06:59;SH8/2I2kXiBIBd;device;491;23.69;1;17;0;60.04
2014-12-01T09:08:00;SH8/2I2kXiBIBd;device;487;23.66;1;17;0;60.08
2014-12-01T09:09:00;SH8/2I2kXiBIBd;device;479;23.64;1;16;0;60.05
2014-12-01T09:10:00;SH8/2I2kXiBIBd;device;472;23.64;1;16;0;60.13
2014-12-01T09:11:01;SH8/2I2kXiBIBd;device;0;23.62;1;16;0;60.67
2014-12-01T09:12:01;SH8/2I2kXiBIBd;device;460;23.62;1;16;0;60.17
2014-12-01T09:13:01;SH8/2I2kXiBIBd;device;457;23.6;1;16;0;60.86
2014-12-01T09:14:01;SH8/2I2kXiBIBd;device;445;23.59;1;17;0;61.36
2014-12-01T09:15:02;SH8/2I2kXiBIBd;device;436;23.57;1;16;0;60.48
2014-12-01T09:16:02;SH8/2I2kXiBIBd;device;433;23.56;1;16;0;60.24
2014-12-01T09:17:02;SH8/2I2kXiBIBd;device;431;23.54;1;16;1;66.91
2014-12-01T09:18:03;SH8/2I2kXiBIBd;device;428;23.54;45;16;1;63.75
2014-12-01T09:19:03;SH8/2I2kXiBIBd;device;425;23.56;52;16;1;61.77
2014-12-01T09:20:03;SH8/2I2kXiBIBd;device;425;23.56;57;17;1;60.26
2014-12-01T09:21:04;SH8/2I2kXiBIBd;device;425;23.59;62;17;1;60.79
2014-12-01T09:22:04;SH8/2I2kXiBIBd;device;430;23.6;63;17;1;60.6
2014-12-01T09:23:04;SH8/2I2kXiBIBd;device;435;23.62;66;17;1;62.28
2014-12-01T09:24:04;SH8/2I2kXiBIBd;device;437;23.63;66;17;1;64.45
2014-12-01T09:25:05;SH8/2I2kXiBIBd;device;441;23.63;66;17;1;64.52
2014-12-01T09:26:05;SH8/2I2kXiBIBd;device;443;23.64;66;17;0;63.16
2014-12-01T09:27:05;SH8/2I2kXiBIBd;device;449;23.64;66;16;1;62.75
2014-12-01T09:28:06;SH8/2I2kXiBIBd;device;453;23.64;66;17;0;66.81
2014-12-01T09:29:06;SH8/2I2kXiBIBd;device;452;23.66;66;17;1;67.96
2014-12-01T09:30:06;SH8/2I2kXiBIBd;device;454;23.67;66;17;1;63.98
2014-12-01T09:31:07;SH8/2I2kXiBIBd;device;455;23.69;66;17;0;66.22
2014-12-01T09:32:07;SH8/2I2kXiBIBd;device;458;23.69;66;17;0;65.43
2014-12-01T09:33:07;SH8/2I2kXiBIBd;device;461;23.69;66;17;0;64.84
2014-12-01T09:34:07;SH8/2I2kXiBIBd;device;463;23.7;66;17;1;62.7
2014-12-01T09:35:08;SH8/2I2kXiBIBd;device;467;23.7;65;17;0;64.65
2014-12-01T09:36:08;SH8/2I2kXiBIBd;device;470;23.72;66;16;0;66.38
2014-12-01T09:37:08;SH8/2I2kXiBIBd;device;477;23.7;65;17;1;65.62
2014-12-01T09:38:09;SH8/2I2kXiBIBd;device;480;23.7;63;17;1;64.2
2014-12-01T09:39:09;SH8/2I2kXiBIBd;device;482;23.7;65;17;1;64.57
2014-12-01T09:40:09;SH8/2I2kXiBIBd;device;485;23.72;65;17;1;69.15
2014-12-01T09:41:10;SH8/2I2kXiBIBd;device;490;23.72;63;17;1;67.16
