#Time,CO2,Temp,Light,Moist,Movement,Noise,No one,One Person,Group,Class,Lecture
4,1383,23.72,31,26,0,60.08,0,1,0,0,0
4,1357,23.76,1,27,0,60.02,0,0,0,0,0
4,1355,23.74,31,27,0,60.05,0,1,0,0,0
4,1190,23.49,1,27,0,60.02,1,0,0,0,0
0,904,23.37,1,24,0,60.02,1,0,0,0,0
0,897,23.39,1,24,0,60.02,1,0,0,0,0
1,533,23.17,26,22,1,63.95,0,1,0,0,0
1,404,23.03,33,21,1,62.7,0,0,1,0,0
1,406,23.03,34,20,0,60.08,0,0,1,0,0
1,431,23.54,1,16,1,66.91,0,1,0,0,0
1,460,23.62,1,16,0,60.17,1,0,0,0,0
1,498,23.73,1,17,0,60.3,1,0,0,0,0
1,483,23.69,30,18,1,72.23,0,0,0,0,1
1,492,23.74,30,18,1,67.32,0,0,0,0,1
1,494,23.74,29,18,1,70.72,0,0,0,0,1
1,499,23.77,30,19,1,67.26,0,0,0,0,1
1,499,23.77,29,18,1,71.3,0,0,0,0,1
1,498,23.77,28,18,1,73.91,0,0,0,0,1
1,497,23.77,29,18,1,65.33,0,0,0,0,1
1,497,23.79,28,18,1,69.6,0,0,0,0,1
1,497,23.8,29,18,1,62.65,0,0,0,0,1
1,498,23.8,29,18,1,69.93,0,0,0,0,1
1,498,23.8,1,18,0,60.29,1,0,0,0,0
1,499,23.79,1,18,0,60.19,1,0,0,0,0
1,499,23.77,1,17,0,60.19,1,0,0,0,0
1,499,23.77,1,17,0,60.05,1,0,0,0,0
1,498,23.73,1,17,0,60.3,1,0,0,0,0
1,495,23.72,1,17,0,60.62,1,0,0,0,0
1,425,23.56,57,17,1,60.26,0,0,1,0,0
1,425,23.59,62,17,1,60.79,0,0,1,0,0
1,430,23.6,63,17,1,60.6,0,0,1,0,0
1,435,23.62,66,17,1,62.28,0,0,1,0,0
1,437,23.63,66,17,1,64.45,0,0,0,1,0
1,441,23.63,66,17,1,64.52,0,0,0,1,0
2,437,23,34,19,0,60.45,0,0,1,0,0
2,437,22.99,35,19,0,60.46,0,0,1,0,0
2,436,23.02,36,19,0,62.51,0,0,1,0,0
2,437,23.02,36,19,0,60.67,0,0,1,0,0
2,436,23.02,36,19,0,60.96,0,0,1,0,0
2,437,23.02,36,19,0,60.11,0,0,1,0,0
3,797,23.56,30,22,1,62.62,0,0,0,1,0
3,800,23.57,32,22,1,61.14,0,0,1,0,0
3,804,23.57,32,22,1,63.63,0,0,0,1,0
3,808,23.57,32,22,0,60.36,0,0,0,1,0
3,1202,23.82,30,25,1,65.77,0,0,0,1,0
3,1207,23.83,30,25,1,62.69,0,0,0,1,0
3,1225,23.84,30,25,1,61.5,0,0,1,0,0
3,1243,23.84,30,25,1,63.79,0,0,0,1,0
4,1355,23.74,31,27,0,60.05,0,1,0,0,0
4,1355,23.74,31,27,0,60.07,0,1,0,0,0
4,1355,23.74,31,27,0,60.02,0,1,0,0,0
4,1354,23.74,31,27,0,60.04,0,1,0,0,0
4,1354,23.74,31,27,0,62.69,0,1,0,0,0
4,1355,23.74,31,27,1,60.2,0,1,0,0,0
4,1357,23.74,1,27,1,63.32,0,1,0,0,0
4,1357,23.74,1,27,0,60.02,1,0,0,0,0
4,1357,23.74,1,27,0,60.1,1,0,0,0,0
4,1357,23.76,1,27,0,60.02,1,0,0,0,0
1,412,23.03,4,17,0,60.02,1,0,0,0,0
1,412,23.02,4,17,0,60.38,1,0,0,0,0
1,412,23.03,26,17,1,60.52,0,1,0,0,0
1,413,23.02,30,17,0,60.08,0,1,0,0,0
1,414,23.03,32,17,0,60.02,0,1,0,0,0
1,421,23.1,35,16,1,60.71,0,0,1,0,0
1,422,23.12,35,17,1,61.2,0,0,1,0,0
1,422,23.13,36,17,1,61.42,0,1,0,0,0
1,433,23.7,33,20,1,65.18,0,0,0,0,1
1,433,23.67,34,19,1,68.29,0,0,0,0,1
1,431,23.67,36,19,1,63.8,0,0,0,0,1
1,430,23.63,36,18,0,60.73,0,0,0,0,1
1,431,23.63,36,18,1,60.99,0,0,0,0,1
